Lemma	T19_Kendall_w2v	T19_Jaccard_w2v	T19_NDCG_w2v	T19_w2v	T19_Kendall_ft	T19_Jaccard_ft	T19_NDCG_ft	T19_ft	TA_Kendall_ft	TA_Jaccard_ft	TA_NDCG_ft	TA_ft
видеть	0.3703841069589007	0.15384615384615385	0.46341446689657695	0.07129453336870414	0.35341020748761354	0.1583011583011583	0.4351369062449183	0.06888267627815309	0.30145659008121156	0.09090909090909091	0.27611409765709116	0.025101281605190106
отец	0.24279574186713324	0.08303249097472924	0.2985778692635573	0.024791664234880207	0.26070020278359424	0.0989010989010989	0.32931756900431575	0.032569869461965294	0.20432901557709107	0.07526881720430108	0.2570144902898114	0.019345176688480428
небо	0.38755325507417776	0.07142857142857142	0.2311915556274585	0.016513682544818463	0.30518035488506406	0.07526881720430108	0.23283322110545568	0.017525081158475158	0.2367231728824917	0.023890784982935155	0.11913638319830212	0.0028462617146352044
давать	0.20485173402575935	0.08695652173913043	0.230507268031767	0.020044110263631912	0.24059184402782977	0.19047619047619047	0.43224667107875914	0.08233269925309697	0.06940351990524571	0.03806228373702422	0.13468281457516657	0.005126335502861011
разрушать	0.2056203992518092	0.041666666666666664	0.13328732831022658	0.005553638679592774	0.1314205745729468	0.04529616724738676	0.15541467982891075	0.007039689330229407	0.15446187030582584	0.023890784982935155	0.07237308425368208	0.0017290497944565685
единственный	0.2586748959193716	0.1111111111111111	0.2637580725694451	0.029306452507716123	0.28268272605430095	0.11524163568773234	0.3601630826626659	0.04150578276038157	0.12696026737041424	0.013513513513513514	0.035245389603714025	0.0004762890486988382
вечный	0.15244711863619773	0.06007067137809187	0.16646857406772925	0.00999987900760211	0.25252079051094517	0.05263157894736842	0.16297687581664602	0.008577730306139264	0.15496950335006918	0.03806228373702422	0.11495782595130853	0.004375557389150152
закон	0.23774296873953812	0.12359550561797752	0.3237706337978558	0.04001659518849903	0.21408518291298032	0.12781954887218044	0.2863976845820652	0.0366072228413166	0.13827238871759462	0.010101010101010102	0.031006750859271178	0.00031319950362900185
научать	0.11330747617055016	0.04895104895104895	0.09876740826631439	0.004834768236812593	0.20350340317010474	0.09090909090909091	0.2700312254715729	0.024548293224688444	0.15687096964884303	0.04529616724738676	0.19805780052974378	0.00897125925744484
средство	0.24863163963446824	0.11524163568773234	0.29920782466752815	0.03448119912525417	0.23735832038888394	0.11940298507462686	0.28687966137210535	0.03425428792502751	0.11581917438219512	0.006711409395973154	0.0419515201226592	0.0002815538263265718
исполнять	0.3442124971145389	0.08303249097472924	0.2725224506313699	0.022628217922460316	0.1707822061334653	0.11940298507462686	0.289556006927037	0.03457385157337755	0.18496176672613307	0.010101010101010102	0.08058180072613431	0.0008139575830922659
существовать	0.09814195183948679	0.07142857142857142	0.19226698609700413	0.013733356149786009	0.13198500542494906	0.1070110701107011	0.2490190935168065	0.026647799675230215	0.10186396564231427	0.030927835051546393	0.12613739667225	0.0039011565981108246
нужно	0.3063303806404637	0.1857707509881423	0.5034917360226719	0.09353403791725527	0.3949726466291982	0.20967741935483872	0.547839129698444	0.11486949493677051	0.210450575630965	0.08695652173913043	0.27236945125077516	0.023684300108763056
вместо	0.14201347553562146	0.06007067137809187	0.17499315619570574	0.010511956379247341	0.12385120791609981	0.06007067137809187	0.18475586615941908	0.011098408921237188	0.10432868968035534	0.01694915254237288	0.05705528416505106	0.0009670387146618823
сотня	0.32913099290963815	0.1070110701107011	0.3526226068477707	0.03773452250400498	0.3398276440689631	0.11940298507462686	0.3459964240270554	0.041313005853976764	0.38662444156024295	0.06007067137809187	0.3001833728627552	0.018032216744405787
